mode,granularity,underflow,N,nb,eps,rel_factor_error,abs_factor_error,relative_residual,tile_breakdown,tile_breakdown_kind,source_csv,source_sweep
ladder_mx_full,vec1d,gu,32768,2048,1e-7,6.67057e-07,9.66031e-05,1.49102e-07,fp32=61;mx_fp16=35;e2m1=21;fp64=16;mx_e4m3=3;,lower,/home/abduraa/MX_project/ooc-cholesky/ladder_rerun_32k/results.csv,ladder_full_gu
ladder_mx_full,vec1d,gu,32768,2048,1e-8,4.07898e-08,5.90717e-06,1.79086e-09,fp64=57;fp32=53;e2m1=15;mx_fp16=6;mx_e4m3=5;,lower,/home/abduraa/MX_project/ooc-cholesky/ladder_rerun_32k/results.csv,ladder_full_gu
ladder_mx_full,vec1d,gu,40960,2048,1e-5,3.02361e-05,0.00543556,1.47591e-06,e2m1=64;fp32=62;mx_fp16=32;mx_e4m3=32;fp64=20;,lower,/home/abduraa/MX_project/ooc-cholesky/ladder_full_gu_missing/results.csv,ladder_full_vec1d_gu
ladder_mx_full,vec1d,gu,40960,2048,1e-6,1.62999e-06,0.000293024,3.19093e-07,fp32=86;e2m1=51;mx_fp16=41;fp64=20;mx_e4m3=12;,lower,/home/abduraa/MX_project/ooc-cholesky/ladder_full_gu_missing/results.csv,ladder_full_vec1d_gu
ladder_mx_full,vec1d,gu,40960,2048,1e-7,4.04958e-07,7.27995e-05,9.48587e-08,fp32=78;mx_fp16=43;fp64=39;e2m1=37;mx_e4m3=13;,lower,/home/abduraa/MX_project/ooc-cholesky/ladder_full_gu_missing/results.csv,ladder_full_vec1d_gu
ladder_mx_full,vec1d,gu,40960,2048,1e-8,2.28733e-08,4.11194e-06,2.29261e-09,fp64=76;fp32=72;e2m1=29;mx_fp16=27;mx_e4m3=6;,lower,/home/abduraa/MX_project/ooc-cholesky/ladder_full_gu_missing/results.csv,ladder_full_vec1d_gu
ladder_mx_full,vec1d,gu,40960,4096,1e-5,1.70762e-05,0.0030698,1.05273e-06,fp32=21;fp64=10;mx_fp16=9;e2m1=9;mx_e4m3=6;,lower,/home/abduraa/MX_project/ooc-cholesky/ladder_full_gu_missing/results.csv,ladder_full_vec1d_gu
ladder_mx_full,vec1d,gu,40960,4096,1e-6,1.0826e-06,0.000194619,3.28958e-07,fp32=28;fp64=10;mx_fp16=9;e2m1=8;,lower,/home/abduraa/MX_project/ooc-cholesky/ladder_full_gu_missing/results.csv,ladder_full_vec1d_gu
ladder_mx_full,vec1d,gu,40960,4096,1e-7,1.04745e-06,0.000188301,3.26643e-07,fp32=30;fp64=10;mx_fp16=7;e2m1=5;mx_e4m3=3;,lower,/home/abduraa/MX_project/ooc-cholesky/ladder_full_gu_missing/results.csv,ladder_full_vec1d_gu
ladder_mx_full,vec1d,gu,40960,4096,1e-8,1.19972e-08,2.15674e-06,8.9685e-10,fp64=31;fp32=16;mx_fp16=3;e2m1=3;mx_e4m3=2;,lower,/home/abduraa/MX_project/ooc-cholesky/ladder_full_gu_missing/results.csv,ladder_full_vec1d_gu
ladder_mx_full,vec1d,gu,65536,4096,1e-5,4.46628e-06,0.00127298,9.67666e-07,fp32=42;mx_e4m3=40;e2m1=38;fp64=16;,lower,/home/abduraa/MX_project/ooc-cholesky/ladder_full_gu_missing/results.csv,ladder_full_vec1d_gu
ladder_mx_full,vec1d,gu,65536,4096,1e-6,7.81969e-07,0.000222877,2.46421e-07,fp32=42;mx_fp16=40;e2m1=38;fp64=16;,lower,/home/abduraa/MX_project/ooc-cholesky/ladder_full_gu_missing/results.csv,ladder_full_vec1d_gu
ladder_mx_full,vec1d,gu,65536,4096,1e-7,7.8015e-07,0.000222359,2.45848e-07,fp32=42;mx_fp16=40;e2m1=30;fp64=16;mx_e4m3=8;,lower,/home/abduraa/MX_project/ooc-cholesky/ladder_full_gu_missing/results.csv,ladder_full_vec1d_gu
ladder_mx_full,vec1d,gu,65536,4096,1e-8,8.56168e-09,2.44025e-06,1.13054e-09,fp64=58;fp32=40;e2m1=30;mx_fp16=8;,lower,/home/abduraa/MX_project/ooc-cholesky/ladder_full_gu_missing/results.csv,ladder_full_vec1d_gu
ladder_mx_staircase,tile,fz,32768,2048,1e-5,1.45229e-05,0.0021032,1.93966e-06,fp32=63;mx_e4m3=32;e2m1=25;fp64=16;,lower,/home/abduraa/MX_project/ooc-cholesky/mx_staircase_tile_gt20k/results.csv,mx_staircase_tile_fz
ladder_mx_staircase,tile,fz,32768,2048,1e-6,2.57456e-06,0.000372847,1.49567e-07,fp32=94;e2m1=22;fp64=16;mx_e4m3=4;,lower,/home/abduraa/MX_project/ooc-cholesky/mx_staircase_tile_gt20k/results.csv,mx_staircase_tile_fz
ladder_mx_staircase,tile,fz,32768,2048,1e-7,6.43986e-07,9.3262e-05,1.53442e-07,fp32=98;e2m1=17;fp64=16;mx_e4m3=5;,lower,/home/abduraa/MX_project/ooc-cholesky/mx_staircase_tile_gt20k/results.csv,mx_staircase_tile_fz
ladder_mx_staircase,tile,fz,32768,2048,1e-8,3.13612e-08,4.54172e-06,2.28094e-09,fp32=62;fp64=57;e2m1=15;mx_e4m3=2;,lower,/home/abduraa/MX_project/ooc-cholesky/mx_staircase_tile_gt20k/results.csv,mx_staircase_tile_fz
ladder_mx_staircase,tile,fz,40960,2048,1e-5,1.34141e-05,0.00241145,2.24614e-06,fp32=100;e2m1=62;mx_e4m3=28;fp64=20;,lower,/home/abduraa/MX_project/ooc-cholesky/mx_staircase_tile_gt20k/results.csv,mx_staircase_tile_fz
ladder_mx_staircase,tile,fz,40960,2048,1e-6,2.51323e-06,0.000451804,3.23474e-07,fp32=133;e2m1=50;fp64=20;mx_e4m3=7;,lower,/home/abduraa/MX_project/ooc-cholesky/mx_staircase_tile_gt20k/results.csv,mx_staircase_tile_fz
ladder_mx_staircase,tile,fz,40960,2048,1e-7,4.1223e-07,7.41067e-05,9.40329e-08,fp32=121;fp64=39;e2m1=31;mx_e4m3=19;,lower,/home/abduraa/MX_project/ooc-cholesky/mx_staircase_tile_gt20k/results.csv,mx_staircase_tile_fz
ladder_mx_staircase,tile,fz,40960,2048,1e-8,1.30616e-08,2.34808e-06,1.5724e-09,fp32=104;fp64=76;e2m1=23;mx_e4m3=7;,lower,/home/abduraa/MX_project/ooc-cholesky/mx_staircase_tile_gt20k/results.csv,mx_staircase_tile_fz
ladder_mx_staircase,tile,fz,40960,4096,1e-5,1.10047e-05,0.00197832,1.66767e-06,fp32=31;fp64=10;e2m1=8;mx_e4m3=6;,lower,/home/abduraa/MX_project/ooc-cholesky/fill_4class_matrix/results.csv,mx_staircase_tile_fz
ladder_mx_staircase,tile,fz,40960,4096,1e-6,1.56668e-06,0.000281643,3.33289e-07,fp32=37;fp64=10;e2m1=8;,lower,/home/abduraa/MX_project/ooc-cholesky/fill_4class_matrix/results.csv,mx_staircase_tile_fz
ladder_mx_staircase,tile,fz,40960,4096,1e-7,1.07258e-06,0.000192819,3.2649e-07,fp32=37;fp64=10;e2m1=5;mx_e4m3=3;,lower,/home/abduraa/MX_project/ooc-cholesky/fill_4class_matrix/results.csv,mx_staircase_tile_fz
ladder_mx_staircase,tile,fz,40960,4096,1e-8,1.4096e-08,2.53405e-06,2.27123e-09,fp64=31;fp32=19;e2m1=3;mx_e4m3=2;,lower,/home/abduraa/MX_project/ooc-cholesky/fill_4class_matrix/results.csv,mx_staircase_tile_fz
