mode	N	nb	eps	M	tiles_total	FP64_tiles	FP32_tiles	FP16_tiles	MXFP16_tiles	MXFP8_tiles	MXFP4_tiles	FP8_plain_tiles	FP64_gb	FP32_gb	FP16_gb	MXFP16_gb	MXFP8_gb	MXFP4_gb	FP8_plain_gb	Scale_gb	total_gb
ladder_ieee_only	20480	4096	1e-8	5	15	11	4	0	0	0	0	0	1.062576	0.250000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.312576
ladder_ieee_only	32768	4096	1e-5	8	36	8	24	1	0	0	0	3	0.500122	1.500000	0.031250	0.000000	0.000000	0.000000	0.046875	0.000000	2.078247
ladder_ieee_only	32768	4096	1e-6	8	36	8	26	0	0	0	0	2	0.500122	1.625000	0.000000	0.000000	0.000000	0.000000	0.031250	0.000000	2.156372
ladder_ieee_only	32768	4096	1e-7	8	36	8	26	0	0	0	0	2	0.500122	1.625000	0.000000	0.000000	0.000000	0.000000	0.031250	0.000000	2.156372
ladder_ieee_only	32768	4096	1e-8	8	36	22	12	0	0	0	0	2	2.250122	0.750000	0.000000	0.000000	0.000000	0.000000	0.031250	0.000000	3.031372
ladder_ieee_only	40960	4096	1e-5	10	55	10	37	0	0	0	0	8	0.625153	2.312500	0.000000	0.000000	0.000000	0.000000	0.125000	0.000000	3.062653
ladder_ieee_only	40960	4096	1e-6	10	55	10	37	0	0	0	0	8	0.625153	2.312500	0.000000	0.000000	0.000000	0.000000	0.125000	0.000000	3.062653
ladder_ieee_only	40960	4096	1e-7	10	55	10	40	0	0	0	0	5	0.625153	2.500000	0.000000	0.000000	0.000000	0.000000	0.078125	0.000000	3.203278
ladder_ieee_only	40960	4096	1e-8	10	55	31	21	0	0	0	0	3	3.250153	1.312500	0.000000	0.000000	0.000000	0.000000	0.046875	0.000000	4.609528
ladder_ieee_only	65536	4096	1e-5	16	136	16	82	0	0	0	0	38	1.000244	5.125000	0.000000	0.000000	0.000000	0.000000	0.593750	0.000000	6.718994
ladder_ieee_only	65536	4096	1e-6	16	136	16	82	0	0	0	0	38	1.000244	5.125000	0.000000	0.000000	0.000000	0.000000	0.593750	0.000000	6.718994
ladder_ieee_only	65536	4096	1e-7	16	136	16	90	0	0	0	0	30	1.000244	5.625000	0.000000	0.000000	0.000000	0.000000	0.468750	0.000000	7.093994
