mode,granularity,underflow,N,nb,eps,rel_factor_error,abs_factor_error,relative_residual,tile_breakdown,tile_breakdown_kind,source_csv,source_sweep
ladder_mx_staircase,tile,fz,65536,4096,1e-7,7.68806e-07,0.000219125,2.45599e-07,FP32=82;MXFP4=30;FP64=16;MXFP8=8;,lower,/home/abduraa/MX_project/ooc-cholesky/mx_staircase_tile_gt20k/results.csv,mx_staircase_tile_fz
ladder_mx_staircase,tile,fz,65536,4096,1e-8,1.7486e-08,4.98388e-06,2.34089e-09,FP64=58;FP32=48;MXFP4=30;,lower,/home/abduraa/MX_project/ooc-cholesky/mx_staircase_tile_gt20k/results.csv,mx_staircase_tile_fz
ladder_mx_staircase,tile,gu,32768,2048,1e-5,8.09104e-05,0.0117174,2.86155e-06,FP32=50;MXFP8=33;MXFP4=27;FP64=16;FP16=10;,lower,/home/abduraa/MX_project/ooc-cholesky/mx_staircase_tile_gt20k/results.csv,mx_staircase_tile_gu
ladder_mx_staircase,tile,gu,32768,2048,1e-6,6.56498e-06,0.00095074,2.41578e-07,FP32=63;FP16=30;MXFP4=22;FP64=16;MXFP8=5;,lower,/home/abduraa/MX_project/ooc-cholesky/mx_staircase_tile_gt20k/results.csv,mx_staircase_tile_gu
ladder_mx_staircase,tile,gu,32768,2048,1e-7,6.76343e-07,9.79479e-05,1.53637e-07,FP32=94;MXFP4=17;FP64=16;MXFP8=7;FP16=2;,lower,/home/abduraa/MX_project/ooc-cholesky/mx_staircase_tile_gt20k/results.csv,mx_staircase_tile_gu
ladder_mx_staircase,tile,gu,32768,2048,1e-8,3.13612e-08,4.54172e-06,2.84425e-09,FP32=60;FP64=57;MXFP4=15;MXFP8=4;,lower,/home/abduraa/MX_project/ooc-cholesky/mx_staircase_tile_gt20k/results.csv,mx_staircase_tile_gu
ladder_mx_staircase,tile,gu,40960,2048,1e-5,3.25854e-05,0.0058579,2.61809e-06,FP32=62;MXFP4=62;MXFP8=33;FP16=33;FP64=20;,lower,/home/abduraa/MX_project/ooc-cholesky/mx_staircase_tile_gt20k/results.csv,mx_staircase_tile_gu
ladder_mx_staircase,tile,gu,40960,2048,1e-6,3.37257e-06,0.000606288,4.23474e-07,FP32=105;MXFP4=50;FP16=22;FP64=20;MXFP8=13;,lower,/home/abduraa/MX_project/ooc-cholesky/mx_staircase_tile_gt20k/results.csv,mx_staircase_tile_gu
ladder_mx_staircase,tile,gu,40960,2048,1e-7,4.38438e-07,7.88181e-05,9.43503e-08,FP32=121;FP64=39;MXFP4=33;MXFP8=17;,lower,/home/abduraa/MX_project/ooc-cholesky/mx_staircase_tile_gt20k/results.csv,mx_staircase_tile_gu
ladder_mx_staircase,tile,gu,40960,2048,1e-8,1.63053e-08,2.93121e-06,2.66542e-09,FP32=99;FP64=76;MXFP4=24;MXFP8=11;,lower,/home/abduraa/MX_project/ooc-cholesky/mx_staircase_tile_gt20k/results.csv,mx_staircase_tile_gu
ladder_mx_staircase,tile,gu,40960,4096,1e-5,2.77381e-05,0.00498649,2.47804e-06,FP32=21;FP64=10;FP16=9;MXFP4=8;MXFP8=7;,lower,/home/abduraa/MX_project/ooc-cholesky/fill_4class_matrix/results.csv,mx_staircase_tile_gu
